Bureau ID,Date,Location,Strike ID,Time,Area,Target,Target Group,Westerners involved,Minimum Total Killed,Maximum Total Killed,Number of deaths,AQ/TB Killed,Minimum civilians killed,Maximum civilians killed,Civilians Killed,Min injured,Max injured,Injured,Minimum children killed,Max children killed,Children Killed,Pakistani approval,Short Summary,Long Summary,Related ID,Notes
B11,02-Nov-07,Danda Darpakhel,13,30-Dec-99,North Waziristan,Jalalludin Haqqani,,,5,10,5-10,5-10,,,,6,12,6-12,,,,,CIA drone strike kills 5-10 alleged Haqqani Network militants.,"First recorded attack ?? on the Haqqani Network (involved in attacks on US forces in Afghanistan) kills at least five alleged militants and wounds 6-12 (the injured include caretaker Noor Khan Mehsud. Dandi Darpakhel, near Miram Shah, North Waziristan.",,
B12,03-Dec-07,Jani Khel,14,,Bannu Frontier,Shaykh Issa al-Masri,,,0,0,Unknown,,,,,1,1,1,,,,,"Strike injures Egyptian al Qaeda leader and ideologue Shaykh Issa al-Masri, Details later emerge via leaked US intelligence document. ","Strike injures Egyptian al Qaeda leader and ideologue Shaykh Issa al-Masri, Details later emerge via leaked US intelligence document. Jani Khel, Bannu.",,
B13,29-Jan-08,Mir Ali,15,,North Waziristan,Abu Laith al-Libi,,,12,15,12-15,4 al-Qaeda,4,6,4-6,1,1,,2,3,3,No,"Abu Laith al-Libi, a senior al Qaeda figure, was killed along with 12-15 others.","Abu Laith al-Libi, senior al Qaeda figure killed along with 12-14 others including Abu Obeida Tawari al-Obeidi, Abu Adel al-Kuwaiti, and Abdel Ghaffar al-Darnawi in drone strike at 'Al Qaeda summit'.  Two women and three children â€“ relatives of house owner Madad Khan â€“reported killed. Salam Kot, Mir Ali, North Waziristan.",,
B14,28-Feb-08,Azam Warsak,16,30-Dec-99,South Waziristan,,,,8,13,8-13,,0,0,0-5,16,16,16,,,,Unlikely,"At least 8 killed, including possibly students, in strike on a madrassa.","An attack on a madrassa kills 8-13, eight of whom are reported as militants (four described as â€˜Arabâ€™s, two as Chechen). The US later secretly claimed the dead were â€œforeign Al Qaeda trainees.â€ Locals say some students were killed. Kaloosha, South Waziristan",B21; B22,
B15,16-Mar-08,Dhook Pir Bagh,17,30-Dec-99,South Waziristan,,Haqqani,,12,20,12-20,,0,4,0-4,5,9,9,,,,,At least 12 alleged militants in an attack on the home of tribal elder Noorullah Wazir.,"Attack on Haqqani Network kills 8-16 alleged militants. Mid level al Qaeda leader Dr Arshad Waheed dies. Leaked US intel document simply claims, â€œmore Al Qaeda trainees were killed.â€ Dhook Pir Bagh, South Waziristan.",,
B16,14-May-08,Damadola,18,30-Dec-99,Bajaur Agency,Abu Sulayman al-Jazairi,,,12,20,12-20,4-11 (1 al-Qaeda),4,6,4-6,9,9,9,1,4,3,Possible,"Failed attack on Abu Sulayman al Jazairi, an al Qaeda weapons expert, kills at least 12 in a rare strike outside Waziristan.","Strike on house and mosque in Damadola, Bajaur  allegedly kills Abu Salayman Jazairi, al Qaeda weapons expert (actually killed April 2009). Up to 15 die including 4-11 militants. Reports that women and three children also died. Pakistan's PM condemns attack.",B6; O14,
B17,14-Jun-08,Makeen,19,,South Waziristan,Baitullah Mehsud,,,1,1,1,0-1,,,,,,,,,,Yes,"One killed in strike on Makeen, South Waziristan.","An attack aimed at Pakistan Taliban leader Baitullah Mehsud in his home town of Makeen, South Waziristan. One killed.",,
B18,28-Jul-08,Zeralita,20,,South Waziristan,Abu Khabab al-Masri,,,6,12,6-12,4 al-Qaeda,1,5,1-5,3,3,3,0,3,3,No,"A strike on a seminary killed al Qaedaâ€™s ""chemical weapons team"", one woman and up to three boys.","Strike on seminary in Zeralita, South Waziristan kills al Qaeda  'chemical weapons team': leader Abu Khabab al-Masri;  Abu Mohammad Ibrahim bin Abi al Faraj al Masri, a religious leader,  Abdul Wahhab al Masri and Abu Islam al Masri. Three young boys and a woman also reported killed. CIA secretly apologises next day for 'collateral damage' .",B6,
B19,12-Aug-08,Bhaggar,21,,South Waziristan,Abdul Rehman,,,13,25,13-25,2,0,5,0-5,0,4,4,,,Possibly,,"At least 13 killed, including two named Taliban. Women and children reported among casualties. Bhagar, South Waziristan.","Rare attack on Hezb-i-Islami allegedly kills Taliban commander Abdul Rehman, Islam Wazir and 11-23 others. Bhagar, South Waziristan, (NB an Abdul Rahman killed in NATO Afghanistan airstrike 4/9/2009) Secret CIA report claims:â€Predator killed foreign fighters and militants associated with HVT Usama Al-Kini and commander Nazir.â€  Women and children reported among injured and dead.",,
B20,20-Aug-08,Zari Noor,22,30-Dec-99,South Waziristan,,Haqqani; al-Qaeda,,8,12,8-12,,,,Unknown,5,5,5,,,,Unlikely,8-12 people killed in attack on alleged militant house.,"8-12 killed in attack in Zari Noor, Wana, South Waziristan.  Target possibly militant Yaqub Wazir, playing key role in peace agreements with Pakistan military. Secret US report claims, â€œa drone killed and injured multiple foreign Al Qaeda members and local associates, including some Haqqani Network associates. An Al Qaeda facilitator (house owner) Haji Yacoub was injured.â€",B14; B21,
B21,27-Aug-08,Ganki Khel,23,,South Waziristan,,al-Qaeda,,0,0,0,0,,,0,4,4,4,,,,,Attack on al Qaeda-associated meeting killed none but injured four.,"Secret US paper identifies failed attack: â€œa Predator attempted to target an Al Qaeda-associated meeting but missed target. It did not cause collateral damage.â€ In fact missile reportedly hits house of Sardali Khan, wounding a woman, two boys and a girl. Gankikhel, South Waziristan",,
B22,30-Aug-08,Korzai,24,30-Dec-99,South Waziristan,,al-Qaeda,Arab-Canadians,4,5,4-5,2-5 al-Qaeda,,,,4,4,4,,,,Unlikely,"Five killed including two Arab-Canadians. Korzai, South Waziristan.","At least five killed, including two Arab-Canadians, in attack on house of Noor Khan Wazir. Secretly US claims â€œstrike killed Al Qaeda paramilitary operatives subordinate to Al Qaeda commander and East Africa Embassy bomber Usama Al Kini.â€ Korzai, South Waziristan.",B14; B20,
B23,30-Aug-08,Miram Shah,25,,North Waziristan,,al-Qaeda,,6,8,6-8,,2,2,2,8,8,8,1,1,Yes,,"Woman and child killed along with four suspected militants, including two â€˜commandersâ€™. Ghundi, North Waziristan.","Six killed including militants, a woman and a little girl; eight were also injured. The US secretly claimed â€œtwo [unnamed] prominent al Qaeda paramilitary commandersâ€ die, with no mention of civilian casualties.  Tappi/ Ghundi village near Miram Shah, North Waziristan",,
B24,02-Sep-08,Unknown,26,,North Waziristan,Abu Wafa al-Saudi,al-Qaeda,,4,10,4-10,4-10,,,,,,,,,,,Attack in unknown location kills 4-10 alleged al Qaeda militants.,"According to a secret US report, â€œA Predator killed four to 10 persons associated with Al Qaeda commander and logistician Abu Wafa Al Saudiâ€. Location unknown â€“ likely North Waziristan.",B25,
B25,04-Sep-08,Mohammad Khel,27,30-Dec-99,North Waziristan,Abu Wafa al-Saudi,al-Qaeda,,5,7,5-7,,,,,3,4,3-4,,,,,"Named al Qaeda militant killed along with 4-6 others. Momadkhel, North Waziristan.","Drones kill al Qaeda logistician Abu Wafa al Saudi along with 4-6 others (reported as all Arabs) in attack on the house of Farman Dawar in Momadkhel, NorthWaziristan.",B24,
B26,05-Sep-08,Gurwak,28,,North Waziristan,,Haqqani; al-Qaeda,,5,12,5-12,5-7,5,7,7,,,,3,4,4,,"Three women and four children killed in attack on two houses in Miranshah, North Waziristan. Five â€˜militantsâ€™ also reported killed by some sources.","Three women and four children killed in attack on two houses in Miranshah, North Waziristan. Five â€˜militantsâ€™ also reported killed by some sources. Gurwak, North Waziristan. V",B27,
B27,08-Sep-08,Miram Shah,29,,North Waziristan,Jalalludin Haqqani,Haqqani; al-Qaeda,,17,23,17-23,4 al-Qaeda,11,14,11-14,14,25,20-25,8,8,8,No (possibly tacit by Gilani),"At least 11 civilians, mostly girls, killed with six others including four named militants.","Major strike kills Abu Haris, Al Qaedaâ€™s chief in Pakistan; Saudis Abdullah and Abu Hamza; Zain Ul Abu Qasim aka Hakaimi, an Egyptian Al Qaeda chief and 21 others. Among the dead are many family members of Taliban leader Jalaluddin Haqqani including eight grandchildren (mostly girls), two wives, his sister, sister-in-law and other relatives.  Danda Darpakhel, North Waziristan. The US secretly admits deaths: â€œa Predator killed several Haqqani sub-commanders and a number of Arabs. Members of the extended Haqqani family were killed.â€",B26,
B28,12-Sep-08,Tol Khel,30,30-Dec-99,North Waziristan,Qari Imran,al-Qaeda,,10,15,10-15,,,,,14,14,14,,,,Likely,"10-15 alleged militants killed in Tol Khel, North Waziristan.","Attack kills 12 'rebel fighters' of local al-Badr group and wounds 14. US secretly claims â€œa Predator killed 10 to 15 militants associated with Al Qaeda facilitator Qari Imranâ€™s training camp.â€ Tol Khel, North Waziristan.",,
B29,17-Sep-08,Baghar Cheena,31,,South Waziristan,,Taliban; al-Qaeda,,4,7,4-7,,,,,3,3,3,,,,Yes,"4-7 killed including possibly Abu Ubaydh Al Tunisi, identified as a High Value Target in a leaked US intelligence document.","Seven killed and three injured.  The last dated entry for the secret US intel report notes: â€œa Predator killed 4-6 militants delivering rockets to a militant camp near the Afghan border and probably HVT Abu Ubaydh Al Tunisi.â€ No new records of al Tunisi being active. Baghar Cheena, South Waziristan.",,
B30,30-Sep-08,Khushali,32,30-Dec-99,South Waziristan,,Taliban; al-Qaeda,,4,8,4-8,0-8,0,0,0-8,5,9,9,,,,,"4-8 killed, 9 injured in attack on Toorikhel, North Waziristan.","After tribesmen fire on three drones circling the village of Toorikhel, North Waziristan, a machine attacks killing 4-8 (reported as â€˜mostly Middle eastern and Central Asianâ€™) and wounding nine.",O1,
B31,03-Oct-08,Datta Khel,33,30-Dec-99,North Waziristan,,Haqqani,,3,3,3,,3,3,3,5,5,5,1,1,1,,"Two women and a child killed in a strike on two houses in Datta Khel, North Waziristan.","Two women and a child killed in a strike on two houses in Datta Khel, North Waziristan, which also injured five men. Some reports claimed it as a NATO airstrike rather than drone attack.",B32,
B32,03-Oct-08,Datta Khel,34,30-Dec-99,North Waziristan,,al-Badr,,21,21,21,16,7,14,7-14,,,,3,3,3,,"21 killed including a woman and a child. Datta Khel, North Waziristan.","Up to 16 alleged 'foreign militants' from the al Badr group killed.  Also reported dead (incorrectly) is Taliban leader Abdur Rehman (again reported killed in June 2011). Killed alongside him are Afghan national Wanar Jan, a woman and three children. Datta Khel, North Waziristan.",B31,
B33,09-Oct-08,Tati,35,30-Dec-99,North Waziristan,Hafiz Sahar Gul,Haqqani,,4,9,4-9,,4,9,4-9,2,2,,0,0,3-4,,"4-9 people killed, including women and children.","Attack aimed at a meeting of al Qaeda and Taliban leaders kills nine including 4 'Arabs' and the wife and three children of local Taliban commander Hafiz Sahar Gul, and an unknown woman. Tati, Miram Shah, North Waziristan. There are claims that the ISI warned those at meeting to flee. Tati, Miranshah, North Waziristan.",,
B34,11-Oct-08,Miram Shah,36,,North Waziristan,,,,4,5,4-5,,0,0,0-5,2,2,2,,,,,"The house of Rahmat Jahan is attacked killing five and wounding two. Miram Shah, North Waziristan.","The house of Rahmat Jahan is attacked killing 4-5 and wounding two. Miram Shah, North Waziristan.",,
B35,16-Oct-08,Taparghai,37,,South Waziristan,Khalid Habib,al-Qaeda,,5,9,5-9,1 al-Qaeda leader,4,4,4,7,7,7,,,,,"Named al Qaeda leader killed along with 4 militants and 4 civilians. Tapargai, South Waziristan.","Egyptian Khalid Habib, Al Qaeda's chief of external operations, was reported killed in his parked vehicle along with four militants. But a local Pakistani intelligence source also said that four civilians were also killed and seven injured when three nearby houses were damaged. Tapargai, South Waziristan.",B18,
B36,23-Oct-08,Danda Darpakhel,38,30-Dec-99,North Waziristan,,Haqqani,,7,11,7-11,,7,10,0-7,11,11,11,7,7,Possibly,Unlikely,"7-11 killed, possibly including children, in attack on Danda Darpakhel, North Waziristan.","An attack on a seminary linked to the Haqqani Network killed ten. Some reports say all killed were militants, naming some: â€˜Mirza Ali Khan, Eid Muhammad from Wana in South Waziristan, Qadir Khan and Gul Wali Shah, residents of Azam Warsak, a town near Wana, and Salim Gul and Abdul Wali hailing from Dawar tribe in North Waziristanâ€™. Other reports say seven students aged 12-18 were killed, with 11 people wounded (three named as Sangeen, Bekhtullah and Rehmatullah) in Danda Darpakhel, Miramshah, North Waziristan.",,
B37,26-Oct-08,Mandata,39,,South Waziristan,Maulvi Nazir,Nazir,,15,20,15-20,,4,9,4-7,2,2,2,0,3,0-3,,"Failed strike on Haji Omar kills 15-20, including at least four civilians.","An attack on Maulvi Nazir's network kills '20 militants'. Haji Omar aka Mohammed Omar was falsely reported killed (Ob51 â€“ 31/12/09). Two of his brothers, Elda Jan and Shakum, and three nephews died; nearby homes were also damaged.  Prime Minister Gilani subsequently issued a formal protest to the US Ambassador. Mandata, South Waziristan.",O51,
B38,31-Oct-08,Asori,40,30-Dec-99,North Waziristan,Abu Jihad al-Masri; Abdur Rehman abu Akash,al-Qaeda,,4,25,4-25,1 al-Qaeda,,,0-20,0,0,,,,,,"Between 4 and 25 killed, possibly including civilians, in failed attack on al Qaeda targets. Mir Ali, North Waziristan.","An attack allegedly killed al Qaedaâ€™s propaganda boss Abu Jihad al Masri and leader Abu Kasha. Both appear to be still alive. The house of Amanullah is set on fire in the attack, which also destroys a vehicle. Civilians may have died in the strike â€“ though some reports contest the high casualty numbers. Mir Ali, North Waziristan.",B4; O1,
B39,31-Oct-08,Kari Kot,41,30-Dec-99,South Waziristan,Maulvi Nazir,Nazir,,4,12,4-12,,0,1,,2,30,30,,,,,Up to 12 killed and Taliban leader Maulvi Nazir among 30 wounded.,"Up to twelve killed (including six â€˜foreignersâ€™) and thirty injured in a major strike against local Taliban leader Maulvi Nazir (himself wounded). The house of Faz-e-Haq was destroyed. Kari Kot, Wana, South Waziristan.",O1,
B40,07-Nov-08,Kumsham,42,,North Waziristan,Hafiz Gul Bahadar,Taliban; al-Qaeda,,11,16,11-16,,0,6,6,17,17,17,,,,No,"Up to 16 killed, including â€˜Westerners and US citizensâ€™. Kumsham, Miramshah, North Waziristan.","An attack on a training facility of Hafiz Gul Bahadar (in a peace deal with Pakistan) killed up to fourteen militants. The CIA later told Pakistanâ€™s president that â€œmany Westerners, including US citizensâ€ died in the strike â€“ details the CIA continues to keep secret.  Kumsham, Miramshah, North Waziristan.",,
B41,14-Nov-08,Garyom,43,,North Waziristan,Hakimullah Mehsud; Baitullah Mehsud,Taliban; al-Qaeda,,11,13,11-13,0-5,3,12,3-11,2,2,At least 2,,,Yes,Likely,"11-13 killed including at least three civilians. Garyom, North Waziristan.","Up to thirteen killed including Amir Khan, owner of the house and up to nine â€˜foreignersâ€™. At least three of the dead were later identified as Khanâ€™s relatives.  A single report claimed that eleven members of one family died. 
Garyom, borders of North and South Waziristan.",O58,
B42,19-Nov-08,Jani Khel,44,30-Dec-99,Bannu Frontier,Abdullah Azzam al-Saudi,Taliban; al-Qaeda,,4,6,4-6,1 al-Qaeda leader,,,,7,7,7,,,,Likely,Al Qaeda operative Abdullah Azzam al Saudi killed with up to five others in attack outside FATA which causes uproar.,"This second strike outside FATA (although the first publicly known), and probably aimed at the Quetta Shura, killed al Qaeda's Abdullah Azzam al Saudi; and ""at least"" five others including two ""foreigners"" and a local man named as Rafiullah. The strike hit the house of a â€˜Taliban militantâ€™ named Dilber. Jani Khel, Bannu, NWFP. The attack provokes Pakistani outrage. In a secret cable, the US Ambassador wrote back to Washington:  â€œThe first strike within â€˜Pakistan properâ€™ is seen as a watershed event, and the media is suggesting this could herald the spread of attacks to Peshawar or Islamabad. Even politicians who have no love lost for a dead terrorist are concerned by strikes within what is considered mainland Pakistan.â€",B12,
B43,22-Nov-08,Ali Khel,45,30-Dec-99,North Waziristan,Zubair al-Masri,Haqqani; al-Qaeda,,4,6,4-6,,,,,6,6,6,,,,Unlikely,"Two named militants and up to four others killed in Ali Khel, Miranshah, North Waziristan.","Rashid Rauf, British Al Qaeda-linked operative and a suspect in a 2006 planes plot, was possibly killed alongside Egyptian explosives expert Abu Zubair al-Masri and three others. House of Khaliq Noor destroyed. Ali Khel, Miram Shah, North Waziristan.",,
B44,27-Nov-08,Wana,46,,South Waziristan,,Taliban,,5,5,5,,,,,,,,,,,,Drone strike destroys vehicle killing five alleged Pakistan Taliban.,"Five alleged members of the Pakistan Taliban (TTP) were killed in an attack on a moving vehicle attributed either to an IED or to a drone. Wana, South Waziristan.",,
B45,29-Nov-08,Chashma,47,,North Waziristan,,,,2,3,2-3,,0,3,0-3,2,3,3,,,Possibly,,"Two or three killed, possibly all civilians. Chashma, Miranshah, North Waziristan.","Attack on a house, listed either as that of  Professor Taj Mohammad or of a man called Ihsan. Two or three killed, reported by some as civilians, possibly including children. Two of the injured were listed as â€˜Adnan and his wifeâ€™. Chashma, Miram Shah, North Waziristan.",,
B46,05-Dec-08,Kateera,48,,North Waziristan,,Taliban,,3,4,3-4,3-4 Taliban,,,,2,2,2,,,,,"3-4 alleged Taliban killed in Kateera, Mir Ali, North Waziristan.","Three or four alleged militants killed and two injured in an attack on a house in Kateera, Mir Ali, North Waziristan.",,
B47,11-Dec-08,Azam Warsak,49,,South Waziristan,,Taliban; al-Qaeda,,6,7,6-7,,0,7,0-7,,,,,,,,"Six or seven killed, either some â€˜foreignersâ€™ or all civilians, Azam Warzak, South Waziristan.","Seven killed including three 'foreigners' in an attack on a house which also damaged a next-door madrassa. Villagers report that all those killed were civilians. Locals later call on United Nations to stop the CIAâ€™s attacks. Azam Warzak, South Waziristan.",,
B48,15-Dec-08,Tapi Tool,50,,North Waziristan,,Haqqani,,2,3,2-3,,0,3,0-2,3,3,3,,,,Unlikely,"At least two killed in Tapi Tool, Miran Shah, North Waziristan.","A strike killed two unknown people and injured three, setting a house on fire in Tapi Tool, Miran Sha, North Waziristan.",,
B49,22-Dec-08,Kari Kot,51,,South Waziristan,Maulvi Nazir,Nazir,,3,3,3,Likely 3 Taliban,,,,5,5,5,,,,,"Three killed in attack on a truck in Kari Kot, Wana, South Waziristan.","At least three people were killed and five wounded in a strike on a truck rigged with an anti-aircraft gun. The attack 'causes huge fire in village, sending panicking residents into the streets',according to reports. Kari Kot, Wana, South Waziristan.",,
B50,22-Dec-08,Shin Warsak,52,,South Waziristan,Maulvi Nazir,Nazir,,2,4,2-4,,,,,4,4,4,,,,,"At least two killed in attack on truck in Shin Warzak, Wana, South Waziristan.","Four killed and four injured in a further strike on an anti-aircraft truck in Shin Warzak near Wana, South Waziristan.",,
B51,01-Jan-09,Kari Kot,53,,South Waziristan,,al-Qaeda,,3,5,3-5,3 al-Qaeda,,,,1,2,2,,,,,"Two named al Qaeda militants and up to thee other people killed in strike on vehicle, Kari Kot, Wana, South Waziristan.","A strike on a vehicle killed al Qaeda operational chief Usama al-Kini and his lieutenant Sheikh Ahmed Salim Swedan, both linked to the 1998 US African embassy bombings. Three others also died in the attack on a vehicle. Two civilians wounded. Kari Kot, Wana, South Waziristan.",,
B52,02-Jan-09,Madin Village,54,,South Waziristan,Baitullah Mehsud,Taliban,,3,4,3-4,,,,,3,5,3,,,,,"Three to four killed in last strike of Bush presidency.  Madin, South Waziristan.","In the final strike of Bushâ€™s presidency, an attack on an abandoned girls' school (reportedly a TTP base) killed four, three reported as suspected militants and injures three. Madin, South Waziristan.",,
Ob1,23-Jan-09,Zharki,56,,North Waziristan,Baitullah Mehsud ally,,,7,15,7-15,,7,11,7-11,1,1,1,1,1,1,,"7 civilians and 4 or more militants reported killed in strike on house in Zharki, Mir Ali,North Waziristan.","The first Obama fatal strike killed up to fourteenâ€“ at least four 'foreign militants' and up to seven civilians, mostly of one family. â€œ14-year-old Fahim Qureshi, lost his left eye, suffered a fractured skull and was hit by several shards in the stomach.â€ (Der Spiegel). In a later report personally given to Obama by his CIA chief, the Agency admitted missing its high value target and killing â€˜five al Qaeda militantsâ€™ but gave no details of civilian deaths.
Zharki, Mir Ali,North Waziristan",B28; B37,
Ob2,23-Jan-09,Ganki Khel,57,30-Dec-99,South Waziristan,Maulvi Nazir,Nazir,,5,10,5-10,,5,10,5-8,,,Unknown,3,4,3,,"7-11 people killed, including several members of a family killed including at least three children in strike on wrong house in Dilfar, Wana, South Waziristan.","An attack on the wrong house killed eight members of Malik Gulistan Khan's family, including Khan, three of his sons (the youngest aged three) and a cousin. One report claimed seven â€˜foreignersâ€™ and three children had died. In a later report personally given to Obama by his CIA chief, the Agency admitted missing its high value target but gave no details of civilian deaths.
Dilfar, Wana, South Waziristan.",,
Ob3,14-Feb-09,Narsi Khel,58,30-Dec-99,South Waziristan,Baitullah Mehsud,Taliban,,26,35,26-35,,1,9,9,15,15,15,1,1,1,Highly likely,"26-35 alleged militants and 8-year old boy killed in strike on house and madrassa in Zangari, South Waziristan.","Up to 35 people were killed (including up to 25 Uzbek militants, according to the Taliban) and 15 were injured. An 8-year old boy, the son of Maezol Khan [PICTURES + Video of grandfather] also died after being hit by flying shrapnel. This first Obama strike against the Pakistan Taliban (TTP) and its leader Baitullah Mehsud, hit the house of Malik Rosan and a madrassa. Zangari, South Waziristan.",,
Ob4,16-Feb-09,Sur Pul,59,30-Dec-99,Kurram Agency,Bahram Khan Kochi,,,30,31,30-31,,0,0,0,3,7,50,,,,,"30-31 killed in a strike on a camp in Sarpal, Kurram Agency","An attack on the day of a local peace deal signing killed 31 people (the Pakistan Taliban reported that 24 of its fighters were killed) and injured 50. Tribal elders reported that civilians were killed in the attack, which struck a TTP camp in Sarpal, Kurram Agency",,
Ob5,01-Mar-09,Sararogha,60,30-Dec-99,South Waziristan,Baitullah Mehsud,,,7,12,7-12,,,,,3,3,3,,,,Yes?,"At least seven killed in an attack on alleged TTP facility in Sararogha, Wana, South Waziristan.","A strike on an alleged TTP compound (complete with underground bunkers) killed twelve and injured three.  Four â€˜foreigners from Central Asiaâ€™ were reported among the dead. Sararogha, Wana, South Waziristan.",,
Ob6,12-Mar-09,Barjo,61,,Kurram Agency,Baitullah Mehsud,,,14,25,14-25,,,,Unknown,30,50,41,,,,,"14-25 killed and 30-50 injured in attack on TTP camp in Barjo, Kurram Agency.","Multiple strikes on a TTP compound killed up to 25 people and injured 41. Taliban hostages may also have been among the dead. The CIA later briefed senior Pakistani officials on the attack. Barjo, Kurram Agency.",,
